날짜,외기온도,외기습도
21. 6. 4 오전 8:15,13.60,100.00
21. 6. 4 오전 8:30,13.80,100.00
21. 6. 4 오전 8:45,14.10,100.00
21. 6. 4 오전 9:00,14.40,100.00
21. 6. 4 오전 9:15,14.50,100.00
21. 6. 4 오전 9:30,15.20,100.00
21. 6. 4 오전 9:45,15.90,100.00
21. 6. 4 오전 10:00,16.10,100.00
21. 6. 4 오전 10:15,16.60,100.00
21. 6. 4 오전 10:30,16.40,99.90
21. 6. 4 오전 10:45,16.40,99.90
21. 6. 4 오전 11:00,16.70,100.00
21. 6. 4 오전 11:15,17.00,100.00
21. 6. 4 오전 11:30,17.60,100.00
21. 6. 4 오전 11:45,18.20,99.90
21. 6. 4 오후 12:00,18.10,87.10
21. 6. 4 오후 12:15,18.70,70.50
21. 6. 4 오후 12:30,19.00,64.90
21. 6. 4 오후 12:45,19.20,64.70
21. 6. 4 오후 1:00,19.30,64.60
21. 6. 4 오후 1:15,19.90,61.50
21. 6. 4 오후 1:30,19.40,69.50
21. 6. 4 오후 1:45,19.10,72.70
21. 6. 4 오후 2:00,18.80,72.10
21. 6. 4 오후 2:15,19.30,66.40
21. 6. 4 오후 2:30,19.30,66.40
21. 6. 4 오후 2:45,19.30,65.50
21. 6. 4 오후 3:00,19.40,66.00
21. 6. 4 오후 3:15,19.50,59.10
21. 6. 4 오후 3:30,19.60,55.60
21. 6. 4 오후 3:45,19.00,64.20
21. 6. 4 오후 4:00,19.10,59.40
21. 6. 4 오후 4:15,19.00,62.60
21. 6. 4 오후 4:30,18.50,66.10
21. 6. 4 오후 4:45,18.30,68.00
21. 6. 4 오후 5:00,18.40,67.80
21. 6. 4 오후 5:15,18.60,65.60
21. 6. 4 오후 5:30,18.50,64.10
21. 6. 4 오후 5:45,18.50,63.30
21. 6. 4 오후 6:00,18.30,65.40
21. 6. 4 오후 6:15,18.40,64.60
21. 6. 4 오후 6:30,18.50,62.50
21. 6. 4 오후 6:45,,58.40
21. 6. 4 오후 7:00,18.70,58.40
21. 6. 4 오후 7:15,18.60,62.50
21. 6. 4 오후 7:30,,65.90
21. 6. 4 오후 7:45,18.50,65.90
21. 6. 4 오후 8:00,18.50,73.90
21. 6. 4 오후 8:15,18.50,73.90
21. 6. 4 오후 8:30,18.20,81.80
21. 6. 4 오후 8:45,18.00,86.60
21. 6. 4 오후 9:00,17.90,85.50
21. 6. 4 오후 9:15,17.70,88.20
21. 6. 4 오후 9:30,17.40,90.20
21. 6. 4 오후 9:45,17.30,99.90
21. 6. 4 오후 10:00,17.10,100.00
21. 6. 4 오후 10:15,17.10,99.90
21. 6. 4 오후 10:30,17.00,99.90
21. 6. 4 오후 10:45,17.00,100.00
21. 6. 4 오후 11:00,17.00,99.90
21. 6. 4 오후 11:15,16.70,99.90
21. 6. 4 오후 11:30,16.60,99.90
21. 6. 4 오후 11:45,16.60,99.90
21. 6. 5 오전 12:00,16.60,99.90
21. 6. 5 오전 12:15,16.50,99.90
21. 6. 5 오전 12:30,16.50,99.90
21. 6. 5 오전 12:45,16.50,99.90
21. 6. 5 오전 1:00,16.50,100.00
21. 6. 5 오전 1:15,16.50,99.90
21. 6. 5 오전 1:30,16.50,100.00
21. 6. 5 오전 1:45,16.50,99.90
21. 6. 5 오전 2:00,16.40,100.00
21. 6. 5 오전 2:15,16.50,99.90
21. 6. 5 오전 2:30,16.40,100.00
21. 6. 5 오전 2:45,16.30,100.00
21. 6. 5 오전 3:00,16.20,100.00
21. 6. 5 오전 3:15,16.40,100.00
21. 6. 5 오전 3:30,16.50,86.20
21. 6. 5 오전 3:45,16.60,89.20
21. 6. 5 오전 4:00,16.60,91.70
21. 6. 5 오전 4:15,16.80,98.40
21. 6. 5 오전 4:30,16.90,99.90
21. 6. 5 오전 4:45,17.00,99.90
21. 6. 5 오전 5:00,,99.90
21. 6. 5 오전 5:15,17.10,99.90
21. 6. 5 오전 5:30,17.00,99.90
21. 6. 5 오전 5:45,17.00,99.90
21. 6. 5 오전 6:00,16.90,99.90
21. 6. 5 오전 6:15,16.90,99.90
21. 6. 5 오전 6:30,17.00,99.90
21. 6. 5 오전 6:45,17.10,100.00
21. 6. 5 오전 7:00,17.10,100.00
21. 6. 5 오전 7:15,17.20,99.90
21. 6. 5 오전 7:30,17.20,99.90
21. 6. 5 오전 7:45,17.20,99.90
21. 6. 5 오전 8:00,17.20,100.00
21. 6. 5 오전 8:15,17.30,100.00
21. 6. 5 오전 8:30,17.40,100.00
21. 6. 5 오전 8:45,17.70,100.00
21. 6. 5 오전 9:00,17.80,100.00
21. 6. 5 오전 9:15,18.30,99.90
21. 6. 5 오전 9:30,18.30,100.00
21. 6. 5 오전 9:45,18.60,100.00
21. 6. 5 오전 10:00,,99.90
21. 6. 5 오전 10:15,19.30,99.90
21. 6. 5 오전 10:30,19.50,99.90
21. 6. 5 오전 10:45,,99.90
21. 6. 5 오전 11:00,20.50,99.90
21. 6. 5 오전 11:15,20.00,99.90
21. 6. 5 오전 11:30,19.80,99.90
21. 6. 5 오전 11:45,20.10,99.90
21. 6. 5 오후 12:00,20.40,99.90
21. 6. 5 오후 12:15,20.40,99.90
21. 6. 5 오후 12:30,20.70,99.90
21. 6. 5 오후 12:45,21.30,99.90
21. 6. 5 오후 1:00,21.60,99.90
21. 6. 5 오후 1:15,21.70,99.90
21. 6. 5 오후 1:30,21.90,99.90
21. 6. 5 오후 1:45,22.10,99.90
21. 6. 5 오후 2:00,21.50,99.80
21. 6. 5 오후 2:15,21.50,97.10
